source,type,phone,price,details,link,date
propertypro,listing,N/A,N/A,"4 bedroom Semi Detached Duplex, House in Katampe Abuja | Semi Detached Duplex, House for sale in Katampe | Semi Detached Duplex, House in Katampe | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-rock-hampton-katampe-abuja-7NRJX,2026-09-23
propertypro,listing,N/A,N/A,"5 bedroom Terraced Duplex, House in Life Camp Abuja | Terraced Duplex, House for sale in Life Camp | Terraced Duplex, House in Life Camp | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-derrick-homes-dape-life-camp-life-camp-abuja-6PUWA,2026-09-23
propertypro,listing,N/A,N/A,"2 bedroom Terraced Duplex, House in Lugbe Abuja | Terraced Duplex, House for sale in Lugbe | Terraced Duplex, House in Lugbe | 2 bedroom",https://propertypro.ng/property/2-bedroom-house-for-sale-aco-lugbe-abuja-6QEZC,2026-09-23
propertypro,listing,N/A,N/A,"2 bedroom Blocks Of Flats, House in Akobo Ibadan Oyo | Blocks Of Flats, House for sale in Ibadan | Blocks Of Flats, House in Ibadan | 2 bedroom",https://propertypro.ng/property/2-bedroom-house-for-sale-bashorun-housing-estate-akobo-ibadan-oyo-1QDJH,2026-09-23
propertypro,listing,N/A,N/A,"3 bedroom Detached Duplex, House in Akobo Ibadan Oyo | Detached Duplex, House for sale in Ibadan | Detached Duplex, House in Ibadan | 3 bedroom",https://propertypro.ng/property/3-bedroom-house-for-sale-rayfield-gardens-estate-monatan-ibadan-akobo-ibadan-oyo-5QEGD,2026-09-23
npc,listing,N/A,290000000,Destress 4 Bedrooms Terraced Duplex with BQ and Ac,N/A,2026-09-23
npc,listing,N/A,470000000,Enormous 5 Bedroom Fully Detached Duplex with 2 BQ and a Pool,N/A,2026-09-23
npc,listing,N/A,600000000,5 Bedroom Detached Duplex with Swimming Pool,N/A,2026-09-23
npc,listing,N/A,1500000000,"Luxury 5 Bedroom Fully Detached Duplex + BQ, Pool, Cinema",N/A,2026-09-23
npc,listing,N/A,280000000,Luxury 4 Bedroom Detached Duplex with a Room BQ,N/A,2026-09-23
