source,city,type,title,price,size,phone,link,date
propertypro,Nigeria,sale,"3 bedroom Detached Duplex, House in Akobo Ibadan Oyo | Detached Duplex, House for sale in Ibadan | Detached Duplex, House in Ibadan | 3 bedroom",145000000,Unknown,N/A,https://propertypro.ng/property/3-bedroom-house-for-sale-rayfield-gardens-estate-monatan-ibadan-akobo-ibadan-oyo-5QEGD,2026-09-25
propertypro,Nigeria,sale,4 bedroom House in Ikota Lekki Lagos | House for sale in Lekki | House in Lekki | 4 bedroom,230000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-6QFYW,2026-09-25
propertypro,Nigeria,sale,"4 bedroom Semi Detached Duplex, House in Lekki Phase 1 Lekki Lagos | Semi Detached Duplex, House for sale in Lekki | Semi Detached Duplex, House in Lekki | 4 bedroom",650000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-5QFYW,2026-09-25
propertypro,Nigeria,sale,"5 bedroom Detached Duplex, House in Osapa London Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",550000000,Unknown,N/A,https://propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-4QFLX,2026-09-25
propertypro,Nigeria,sale,2 bedroom House in Ikate Lekki Lagos | House for sale in Lekki | House in Lekki | 2 bedroom,180000000,Unknown,N/A,https://propertypro.ng/property/2-bedroom-house-for-sale-ikate-lekki-lagos-7NEQQ,2026-09-25
propertypro,Nigeria,sale,"2 bedroom Detached Duplex, House in Ikate Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 2 bedroom",250000000,Unknown,N/A,https://propertypro.ng/property/2-bedroom-house-for-sale-ikate-lekki-lagos-9PBMH,2026-09-25
propertypro,Nigeria,sale,"2 bedroom Blocks Of Flats, House in Chevron Lekki Lagos | Blocks Of Flats, House for sale in Lekki | Blocks Of Flats, House in Lekki | 2 bedroom",110000000,Unknown,N/A,https://propertypro.ng/property/2-bedroom-house-for-sale-chevron-lekki-lagos-1QCNZ,2026-09-25
propertypro,Nigeria,sale,"5 bedroom Detached Duplex, House in Orchid Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",470000000,Unknown,N/A,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-2QBTL,2026-09-25
propertypro,Nigeria,sale,"3 bedroom Terraced Duplex, House in Ikota Lekki Lagos | Terraced Duplex, House for sale in Lekki | Terraced Duplex, House in Lekki | 3 bedroom",115000000,Unknown,N/A,https://propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-3PTKT,2026-09-25
propertypro,Nigeria,sale,"4 bedroom Semi Detached Duplex, House in Ajah Lagos | Semi Detached Duplex, House for sale in Ajah | Semi Detached Duplex, House in Ajah | 4 bedroom",180000000,Unknown,N/A,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-7PURC,2026-09-25
