source,type,phone,price,details,link,date
propertypro,listing,N/A,N/A,"2 bedroom Terraced Duplex, House in Lugbe Abuja | Terraced Duplex, House for sale in Lugbe | Terraced Duplex, House in Lugbe | 2 bedroom",https://propertypro.ng/property/2-bedroom-house-for-sale-aco-lugbe-abuja-6QEZC,2026-09-17
propertypro,listing,N/A,N/A,"3 bedroom Terraced Duplex, House in Ikota Lekki Lagos | Terraced Duplex, House for sale in Lekki | Terraced Duplex, House in Lekki | 3 bedroom",https://propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-3PTKT,2026-09-17
propertypro,listing,N/A,N/A,"5 bedroom Detached Duplex, House in Chevron Drive Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-drive-chevron-drive-lekki-lagos-6NWXD,2026-09-17
propertypro,listing,N/A,N/A,"4 bedroom Detached Bungalow, House in Ibeju Lekki Lagos | Detached Bungalow, House for sale in Ibeju Lekki | Detached Bungalow, House in Ibeju Lekki | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-pan-atlantic-lakowe-golf-eleko-junction-ibeju-lekki-lagos-2PAEF,2026-09-17
propertypro,listing,N/A,N/A,"5 bedroom Detached Duplex, House in Ikota Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-ikota-estate-ikota-lekki-lagos-1NXFS,2026-09-17
npc,listing,N/A,500000000,Architectural Masterpiece: 5-Bedroom Luxury Home with Pool,N/A,2026-09-17
npc,listing,N/A,750000000,"5 Bedroom Luxury Detached Duplex with 2 Rooftop Terrace, Cinema, Pool",N/A,2026-09-17
npc,listing,N/A,470000000,Enormous 5 Bedroom Fully Detached Duplex with 2 BQ and a Pool,N/A,2026-09-17
npc,listing,N/A,260000000,Luxury 5 Bedroom Detached Duplex with a Room BQ,N/A,2026-09-17
npc,listing,N/A,600000000,"Luxury 5 Bedroom Semi Detached Duplex with BQ, Pool, Cinema",N/A,2026-09-17
