source,type,phone,price,details,link,date
propertypro,listing,N/A,N/A,"3 bedroom Semi Detached Duplex, House in Life Camp Abuja | Semi Detached Duplex, House for sale in Life Camp | Semi Detached Duplex, House in Life Camp | 3 bedroom",https://propertypro.ng/property/3-bedroom-house-for-sale-paradise-estate-phase-1-life-camp-abuja-3QFFC,2026-09-18
propertypro,listing,N/A,N/A,"5 bedroom Semi Detached Duplex, House in Ikeja Gra Ikeja Lagos | Semi Detached Duplex, House for sale in Ikeja | Semi Detached Duplex, House in Ikeja | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-ikeja-gra-ikeja-lagos-5QDSC,2026-09-18
propertypro,listing,N/A,N/A,"4 bedroom Terraced Duplex, House in Apo Resettlement Apo Abuja | Terraced Duplex, House for sale in Apo | Terraced Duplex, House in Apo | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-apo-resettlement-apo-abuja-9QBHU,2026-09-18
propertypro,listing,N/A,N/A,"6 bedroom Detached Duplex, House in Karsana South Karsana Abuja | Detached Duplex, House for sale in Karsana | Detached Duplex, House in Karsana | 6 bedroom",https://propertypro.ng/property/6-bedroom-house-for-sale-efab-metropolis-estate-karsana-south-karsana-abuja-1QBYE,2026-09-18
propertypro,listing,N/A,N/A,"6 bedroom Detached Duplex, House in Karsana South Karsana Abuja | Detached Duplex, House for sale in Karsana | Detached Duplex, House in Karsana | 6 bedroom",https://propertypro.ng/property/6-bedroom-house-for-sale-karsana-south-karsana-abuja-3QBYE,2026-09-18
npc,listing,N/A,200000000,Luxury 4 Bedroom Duplex with a BQ,N/A,2026-09-18
npc,listing,N/A,600000000,5 Bedroom Detached Duplex with Rooftop Terrace,N/A,2026-09-18
npc,listing,N/A,1500000000,"Luxury 5 Bedroom Detached Duplex + BQ, Pool, Cinema, Gym, Elevator",N/A,2026-09-18
npc,listing,N/A,110000000,Lovely Built Self Compound 3 Bedroom Terrace Duplex,N/A,2026-09-18
npc,listing,N/A,300000000,4 Bedroom House with BQ,N/A,2026-09-18
