source,type,phone,price,details,link,date
propertypro,listing,N/A,N/A,"5 bedroom Detached Duplex, House in Ikate Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-3QFJJ,2026-09-19
propertypro,listing,N/A,N/A,"4 bedroom Detached Bungalow, House in Enugu Enugu | Detached Bungalow, House for sale in Enugu | Detached Bungalow, House in Enugu | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-enugu-enugu-5QDNJ,2026-09-19
propertypro,listing,N/A,N/A,"5 bedroom Detached Duplex, House in Enugu Enugu | Detached Duplex, House for sale in Enugu | Detached Duplex, House in Enugu | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-independence-layout-enugu-enugu-7QDNL,2026-09-19
propertypro,listing,N/A,N/A,"4 bedroom Terraced Duplex, House in Orchid Lekki Lagos | Terraced Duplex, House for sale in Lekki | Terraced Duplex, House in Lekki | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-9PYKE,2026-09-19
propertypro,listing,N/A,N/A,"2 bedroom Terraced Duplex, House in Orchid Lekki Lagos | Terraced Duplex, House for sale in Lekki | Terraced Duplex, House in Lekki | 2 bedroom",https://propertypro.ng/property/2-bedroom-house-for-sale-orchid-lekki-lagos-7PYKF,2026-09-19
npc,listing,N/A,100000000,3 Bedroom Block of Flats,N/A,2026-09-19
npc,listing,N/A,350000000,Newly Built 5 Bedroom Fully Detached Duplex with 2-Room BQ,N/A,2026-09-19
npc,listing,N/A,105000000,3 Bedroom Self Compound Terrace Duplex with BQ,N/A,2026-09-19
npc,listing,N/A,650000000,"Contemporary 5 Bedroom Fully Detached Duplex + BQ, Pool, Cinema",N/A,2026-09-19
npc,listing,N/A,210000000,4 Bedroom Detached Duplex,N/A,2026-09-19
