source,type,phone,price,details,link,date
propertypro,listing,N/A,N/A,"5 bedroom Detached Duplex, House in Chevron Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-0QANK,2026-09-21
propertypro,listing,N/A,N/A,"5 bedroom Detached Duplex, House in Lekki Phase 1 Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-0QCEJ,2026-09-21
propertypro,listing,N/A,N/A,"4 bedroom Massionette, House in Banana Island Ikoyi Lagos | Massionette, House for sale in Ikoyi | Massionette, House in Ikoyi | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-banana-island-ikoyi-lagos-1QCCK,2026-09-21
propertypro,listing,N/A,N/A,"4 bedroom Detached Duplex, House in Ajah Lagos | Detached Duplex, House for sale in Ajah | Detached Duplex, House in Ajah | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-5QCHG,2026-09-21
propertypro,listing,N/A,N/A,"4 bedroom Detached Duplex, House in Ajah Lagos | Detached Duplex, House for sale in Ajah | Detached Duplex, House in Ajah | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-4QEWK,2026-09-21
npc,listing,N/A,260000000,Luxury 4 Bedroom Duplex with Room and Parlor BQ on 2 Plots of Land,N/A,2026-09-21
npc,listing,N/A,360000000,Five Bedroom Fully Detached Duplex,N/A,2026-09-21
npc,listing,N/A,6000000000,5 Bedroom House with Boys' Quarters,N/A,2026-09-21
npc,listing,N/A,1400000000,Luxury Four Bedroom Terrace with BQ,N/A,2026-09-21
npc,listing,N/A,300000000,Gorgeous 5 Bedroom Duplex with a BQ and a Pool,N/A,2026-09-21
