source,type,phone,price,details,link,date
propertypro,listing,N/A,N/A,5 bedroom House in Ikota Lekki Lagos | House for sale in Lekki | House in Lekki | 5 bedroom,https://propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-8QBTB,2026-09-16
propertypro,listing,N/A,N/A," Detached Duplex, House in Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki",https://propertypro.ng/property/house-for-sale-lekki-lagos-7QBWR,2026-09-16
propertypro,listing,N/A,N/A,"5 bedroom Detached Duplex, House in Ikota Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-9QBPN,2026-09-16
propertypro,listing,N/A,N/A,4 bedroom House in Vgc Lekki Lagos | House for sale in Lekki | House in Lekki | 4 bedroom,https://propertypro.ng/property/4-bedroom-house-for-sale-vgc-lekki-lagos-5QBSZ,2026-09-16
propertypro,listing,N/A,N/A,5 bedroom House in Ikate Lekki Lagos | House for sale in Lekki | House in Lekki | 5 bedroom,https://propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-4QCFP,2026-09-16
npc,listing,N/A,280000000,Luxury 5-Bedroom Duplex,N/A,2026-09-16
npc,listing,N/A,240000000,"4 Bedroom Semi Detached Duplex with Rooftop Terrace, BQ",N/A,2026-09-16
npc,listing,N/A,400000000,"Luxury 5 Bedroom Fully Detached Duplex + BQ, Pool, Study/Office Space",N/A,2026-09-16
npc,listing,N/A,460000000,"Contemporary 5 Bedroom Detached Duplex + BQ, Pool",N/A,2026-09-16
npc,listing,N/A,300000000,Luxury 5 Bedroom Semi Detached Duplex + BQ in a Secured Estate,N/A,2026-09-16
