source,type,phone,price,details,link,date
propertypro,listing,N/A,N/A,"4 bedroom Semi Detached Duplex, House in Galadimawa Abuja | Semi Detached Duplex, House for sale in Galadimawa | Semi Detached Duplex, House in Galadimawa | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-galadimawa-abuja-5PWBY,2026-09-15
propertypro,listing,N/A,N/A,"4 bedroom Semi Detached Duplex, House in Sangotedo Ajah Lagos | Semi Detached Duplex, House for sale in Ajah | Semi Detached Duplex, House in Ajah | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-sangotedo-ajah-lagos-1QCCE,2026-09-15
propertypro,listing,N/A,N/A,"4 bedroom Semi Detached Duplex, House in Sangotedo Ajah Lagos | Semi Detached Duplex, House for sale in Ajah | Semi Detached Duplex, House in Ajah | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-sangotedo-ajah-lagos-3QCCE,2026-09-15
propertypro,listing,N/A,N/A,"5 bedroom Detached Duplex, House in Ikota Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-9QBPN,2026-09-15
propertypro,listing,N/A,N/A,5 bedroom House in Chevron Lekki Lagos | House for sale in Lekki | House in Lekki | 5 bedroom,https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-6QBSF,2026-09-15
npc,listing,N/A,575000000,5 Bedroom Detached Duplex with BQ,N/A,2026-09-15
npc,listing,N/A,750000000,Luxurious 5 Bedroom Duplex with a Pool and a BQ,N/A,2026-09-15
npc,listing,N/A,780000000,4 Bedroom Duplex,N/A,2026-09-15
npc,listing,N/A,350000000,Cozy 2 Bedroom Apartment,N/A,2026-09-15
npc,listing,N/A,650000000,"Beautiful 5 Bedroom Duplex with BQ, Pool, Cinema",N/A,2026-09-15
