source,type,phone,price,details,link,date
propertypro,listing,N/A,N/A,"4 bedroom Terraced Duplex, House in Life Camp Abuja | Terraced Duplex, House for sale in Life Camp | Terraced Duplex, House in Life Camp | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-derrick-homes-dape-life-camp-life-camp-abuja-4PUVN,2026-09-22
propertypro,listing,N/A,N/A,"2 bedroom Terraced Duplex, House in Lugbe Abuja | Terraced Duplex, House for sale in Lugbe | Terraced Duplex, House in Lugbe | 2 bedroom",https://propertypro.ng/property/2-bedroom-house-for-sale-aco-lugbe-abuja-6QEZC,2026-09-22
propertypro,listing,N/A,N/A,"5 bedroom Detached Duplex, House in Galadimawa Abuja | Detached Duplex, House for sale in Galadimawa | Detached Duplex, House in Galadimawa | 5 bedroom",https://propertypro.ng/property/5-bedroom-house-for-sale-galadimawa-galadimawa-abuja-0QFQR,2026-09-22
propertypro,listing,N/A,N/A,5 bedroom House in Chevron Lekki Lagos | House for sale in Lekki | House in Lekki | 5 bedroom,https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-8QFQE,2026-09-22
propertypro,listing,N/A,N/A,"4 bedroom Terraced Duplex, House in Chevron Lekki Lagos | Terraced Duplex, House for sale in Lekki | Terraced Duplex, House in Lekki | 4 bedroom",https://propertypro.ng/property/4-bedroom-house-for-sale-chevron-lekki-lagos-8QFQD,2026-09-22
npc,listing,N/A,600000000,5 Bedroom Fully Detached Duplex,N/A,2026-09-22
npc,listing,N/A,750000000,4 Bedroom Detached Duplex,N/A,2026-09-22
npc,listing,N/A,125000000,Nicely Built 4 Bedroom Terrace Duplex in a Secured Estate,N/A,2026-09-22
npc,listing,N/A,220000000,Luxury 4 Bedroom Semi Detached Duplex in a Secured Estate,N/A,2026-09-22
npc,listing,N/A,550000000,Newly Built 5 Bedrooms Detached Duplex with a Swimming Pool,N/A,2026-09-22
